Student,College,Level,Years
A,MUI,SR,4
R,WAR,JR,3
T,SIX,JR,3
S,SIX,SR,4
G,MUI,SR,4
I,SIX,JR,3
J,REV,SO,2
C,WAR,SR,4
H,REV,SR,4
J,ERC,SO,2
M,SIX,JR,3
K,WAR,SR,4
K,MUI,JR,3
C,REV,SO,2
Y,SEV,JR,3
E,GRAD,D1,5
O,REV,JR,3
I,MUI,SR,4
D,ERC,JR,3
J,WAR,SO,2
B,WAR,JR,3
C,REV,SR,4
M,SEV,SO,2
K,WAR,JR,3
Y,THU,JR,3
Z,THU,JR,3
H,ERC,SR,4
R,SIX,SR,4
Y,ERC,SR,4
A,WAR,JR,3
G,THU,JR,3
B,SIX,FR,1
S,WAR,SO,2
A,SIX,JR,3
T,SEV,SO,2
S,GRAD,MA,5
S,SIX,SR,4
A,SIX,SO,2
S,MUI,JR,3
N,THU,SR,4
K,ERC,SO,2
G,ERC,SR,4
A,REV,SR,4
A,SIX,SR,4
D,WAR,SR,4
L,THU,SO,2
H,WAR,SO,2
I,ERC,JR,3
M,ERC,JR,3
Y,WAR,SO,2
Z,WAR,SO,2
S,ERC,SR,4
A,REV,JR,3
A,ERC,SO,2
E,REV,JR,3
A,THU,SO,2
B,MUI,SR,4
J,REV,SO,2
W,ERC,SR,4
C,THU,JR,3
J,SEV,SO,2
J,THU,JR,3
S,SIX,SO,2
S,MUI,SR,4
A,SIX,SO,2
A,ERC,SR,4
T,SIX,JR,3
C,ERC,JR,3
B,REV,JR,3
G,WAR,SR,4
L,SIX,SR,4
T,WAR,SO,2
W,WAR,SO,2
H,THU,SR,4
J,MUI,JR,3
L,WAR,SO,2
Y,THU,SR,4
Z,WAR,SO,2
J,SIX,SO,2
J,THU,SO,2
P,MUI,SO,2
X,THU,SR,4
Y,SIX,SR,4
J,ERC,SO,2
S,SIX,SR,4
S,MUI,SO,2
Y,WAR,SO,2
K,SIX,SO,2
W,WAR,SR,4
D,ERC,JR,3
J,SIX,JR,3
E,SIX,SR,4
N,THU,JR,3
K,SIX,SO,2
T,THU,JR,3
S,ERC,SO,2
K,REV,SO,2
K,SIX,JR,3
M,WAR,SO,2
Y,THU,SR,4
A,ERC,SO,2
J,ERC,JR,3
S,MUI,SO,2
E,SIX,JR,3
M,ERC,JR,3
V,SIX,SO,2
L,ERC,SO,2
A,REV,JR,3
D,REV,SR,4
R,MUI,SO,2
A,ERC,JR,3
M,GRAD,D1,5
S,REV,SR,4
A,SIX,JR,3
V,REV,SR,4
S,THU,JR,3
M,ERC,JR,3
A,SIX,SR,4
Y,ERC,SR,4
S,REV,JR,3
J,WAR,SR,4
H,MUI,SR,4
A,MUI,JR,3
C,THU,SR,4
D,WAR,SR,4
J,SIX,SO,2
R,SEV,JR,3
S,SEV,SO,2
Y,WAR,SO,2
S,SIX,JR,3
X,MUI,SR,4
Y,THU,JR,3
S,SEV,SO,2
X,REV,SO,2
P,ERC,SO,2
C,THU,SR,4
M,THU,SO,2
J,SIX,JR,3
E,ERC,JR,3
J,WAR,SO,2
M,THU,SR,4
S,REV,SR,4
A,THU,JR,3
R,THU,SR,4
I,SIX,SO,2
E,WAR,SR,4
A,REV,SR,4
C,SIX,JR,3
E,WAR,SO,2
Y,WAR,SO,2
Z,REV,SO,2
Z,SIX,JR,3
L,THU,JR,3
T,REV,JR,3
D,WAR,SO,2
R,ERC,SO,2
Z,ERC,JR,3
F,MUI,SR,4
J,SIX,FR,1
L,SIX,SR,4
Y,SIX,JR,3
B,MUI,SO,2
J,THU,SR,4
K,THU,SO,2
E,SIX,SO,2
K,REV,JR,3
E,ERC,JR,3
G,SIX,SO,2
H,ERC,SO,2
J,MUI,SO,2
M,SIX,JR,3
W,SIX,JR,3
X,SIX,SO,2
Y,WAR,JR,3
J,THU,SR,4
J,GRAD,D1,5
S,THU,SR,4
S,MUI,JR,3
X,MUI,JR,3
R,WAR,JR,3
