PlayerName,Salary
Tim Frazier,50734
Jameer Nelson,2732000
Greivis Vasquez,6400000
Danilo Gallinari,10854850
Nik Stauskas,2745840
Mike Muscala,816482
Tyreke Evans,11265416
Eric Gordon,14898938
James Ennis,507336
Enes Kanter,5694674
Malcolm Lee,915243
Marc Gasol,15829688
Solomon Hill,1302840
Dante Exum,3615000
Kirk Hinrich,2732000
Grant Jerrett,816481
Kendall Marshall,915243
Landry Fields,6250000
Tayshaun Prince,7707865
Glen Rice,816482
Jeremy Lamb,2202000
Samuel Dalembert,3867282
DeMar DeRozan,10100000
Bryce Cotton,92514
Rudy Gay,19317326
Jordan Hamilton,150591
DeAndre Jordan,11440124
Kobe Bryant,23500000
Ray McCallum,816482
Giannis Antetokounmpo,1873200
Jabari Parker,4930560
James Harden,14728844
Nate Wolters,816482
Darren Collison,4797664
DeJuan Blair,2000000
Otto Porter,4470480
Bruno Caboclo,1458360
John Henson,1987320
Deron Williams,19754465
Darius Morris,702756
Mason Plumlee,1357080
Nate Robinson,2106720
Shaun Livingston,5305000
P.J. Tucker,5700000
Brian Roberts,2732000
Boris Diaw,8000000
Evan Fournier,1483920
Derrick Favors,12950000
Joey Dorsey,948163
Henry Walker,196217
Larry Sanders,11000000
Stephen Curry,10629213
John Jenkins,1312920
John Salmons,1000000
Andrew Nicholson,1545840
Michael Beasley,777778
Marvin Williams,7000000
Arinze Onuaku,43226
O.J. Mayo,8000000
Meyers Leonard,2317920
Greg Monroe,5479934
Gary Harris,1519200
Bismack Biyombo,3873398
Jeff Green,9445000
Khris Middleton,915243
Tyler Hansbrough,3326235
Andrew Wiggins,5510640
LaMarcus Aldridge,16256000
Pero Antic,1250000
Jonas Valanciunas,3678360
Malcolm Thomas,635827
Darrell Arthur,3457149
Quincy Acy,915243
Caron Butler,4500000
Jason Thompson,6037500
Alex Len,3649920
Nerlens Noel,3315120
Cory Jefferson,507336
Kendrick Perkins,9154342
Sean Kilpatrick,35000
Klay Thompson,3075880
T.J. Warren,1953120
Gerald Wallace,10105855
Jose Calderon,7097191
Jerome Jordan,915243
Elton Brand,2000000
Reggie Williams,344036
Austin Daye,1063384
Jordan Adams,1344120
Shannon Brown,1310286
Kevin Garnett,12000000
Luke Ridnour,2750000
Xavier Henry,1082000
Lucas Nogueira,1762680
Elijah Millsap,241731
Kevin Martin,6792500
Andrei Kirilenko,3326235
Shayne Whittington,507336
Kyle Lowry,12000000
Andrea Bargnani,11500000
Patrick Christopher,379010
Jeremy Evans,1794871
Martell Webster,5381750
Damian Lillard,3340920
Brook Lopez,15719063
Manu Ginobili,7000000
Kalin Lucas,507336
Terrence Ross,2793960
Marreese Speights,3657500
Ryan Hollins,1316809
Tiago Splitter,9250000
Greg Stiemsma,981084
John Lucas III,336966
Nikola Pekovic,12100000
Doug McDermott,2277960
Bernard James,915243
Omri Casspi,1063384
Lavoy Allen,948163
Drew Gooden,6680000
Thaddeus Young,9660869
Tony Snell,1472400
Alexis Ajinca,981084
Gal Mekel,816482
Nikola Mirotic,5305000
J.R. Smith,6516000
Toney Douglas,143870
Joakim Noah,12700000
Seth Curry,100000
Alan Anderson,1276061
Amir Johnson,7000000
Miroslav Raduljica,300000
James Jones,1448490
Brandon Davies,816482
Draymond Green,915243
Travis Wear,507336
Joe Ingles,507336
Lester Hudson,57726
Francisco Garcia,1316809
Arron Afflalo,7750000
Zach LaVine,2055840
Monta Ellis,8360000
Kyle Korver,6253521
Phil Pressey,816482
Kevin Durant,18995624
Derrick Rose,18862876
Tristan Thompson,5138430
Rodney Stuckey,1227985
Dwight Howard,21436271
Robert Covington,1000000
Marcin Gortat,10434782
