PlayerName,Salary
Devyn Marble,884879
Lorenzo Brown,268959
C.J. McCollum,2421000
Jerel McNeal,53838
Cory Jefferson,507336
Rudy Gay,19317326
Derrick Favors,12950000
Norris Cole,2038206
Ben McLemore,3026280
Jack Cooley,65000
Quincy Acy,915243
Quincy Pondexter,3146068
Danilo Gallinari,10854850
Marcin Gortat,10434782
Furkan Aldemir,3116159
Ben Gordon,4500000
Cartier Martin,1145686
Richard Jefferson,1448490
Ricky Rubio,5070686
Taj Gibson,8000000
Tobias Harris,2380594
Brandon Rush,1145685
Ray McCallum,816482
James Young,1674480
Marcus Smart,3283320
Tarik Black,507336
Miles Plumlee,1169880
Patrick Christopher,379010
Miroslav Raduljica,300000
David Stockton,29843
Austin Rivers,2439840
Jason Terry,5850313
Kyle Singler,1090000
Aron Baynes,2077000
Markieff Morris,2989239
Aaron Gordon,3992040
Jameer Nelson,2732000
Drew Gordon,507336
Reggie Bullock,1200720
Anthony Morrow,3200000
Amar'e Stoudemire,23410988
Kawhi Leonard,2894059
Maurice Harkless,1887840
Larry Drew,507336
Giannis Antetokounmpo,1873200
Nate Wolters,816482
Josh McRoberts,5305000
David West,12000000
Troy Daniels,816482
Kevin Durant,18995624
Paul George,15925680
Kris Humphries,4300000
Ty Lawson,11595506
Jordan Adams,1344120
Jason Richardson,6601125
Paul Millsap,9500000
Caron Butler,4500000
David Lee,15012000
J.J. Redick,6792500
Wesley Johnson,981084
Raymond Felton,3793693
Elijah Millsap,241731
Matthew Dellavedova,816482
Kentavious Caldwell-Pope,2772480
Michael Carter-Williams,2300040
Dahntay Jones,613478
Dirk Nowitzki,7974482
