Year,EmployerType,EmployerName,DepartmentOrSubdivision,Position,ElectedOfficial,Judicial,OtherPositions,MinPositionSalary,MaxPositionSalary,ReportedBaseWage,RegularPay,OvertimePay,LumpSumPay,OtherPay,TotalWages,DefinedBenefitPlanContribution,EmployeesRetirementCostCovered,DeferredCompensationPlan,HealthDentalVision,TotalRetirementAndHealthContribution,PensionFormula,EmployerURL,EmployerPopulation,LastUpdatedDate,EmployerCounty,SpecialDistrictActivities,IncludesUnfundedLiability,SpecialDistrictType
2019,City,San Diego,Fire-Rescue,Fire Captain,False,False,,75733,91666,,63429,230214,35,21631,315309,19893,0,0,11490,31383,3.0% @ 50,https://www.sandiego.gov/humanresources,1430489,06/30/2020,San Diego,,False,
2019,City,San Diego,Police,Police Sergeant,False,False,,93059,112507,,107707,143335,41886,17907,310835,21230,0,0,21747,42977,3.0% @ 50,https://www.sandiego.gov/humanresources,1430489,06/30/2020,San Diego,,False,
2019,City,San Diego,Fire-Rescue,Fire Captain,False,False,,75733,91666,,86344,202798,2052,14697,305891,15463,0,0,11187,26650,3.0% @ 50,https://www.sandiego.gov/humanresources,1430489,06/30/2020,San Diego,,False,
2019,City,San Diego,Police,Executive Assistant Police Chief,False,False,,63128,239138,,177993,0,95554,19416,292963,0,0,5890,8434,14324,3.0% @ 50,https://www.sandiego.gov/humanresources,1430489,06/30/2020,San Diego,,False,
2019,City,San Diego,Fire-Rescue,Fire Engineer,False,False,,65728,79456,,39532,176364,40724,35782,292402,17886,0,0,18097,35983,3.0% @ 50,https://www.sandiego.gov/humanresources,1430489,06/30/2020,San Diego,,False,
2019,City,San Diego,Fire-Rescue,Fire Battalion Chief,False,False,,88275,106829,,104861,152102,7910,25763,290636,21748,0,0,14833,36581,3.0% @ 50,https://www.sandiego.gov/humanresources,1430489,06/30/2020,San Diego,,False,
2019,City,San Diego,Office Of The Coo,Chief Operating Officer,False,False,,77917,311168,,267090,0,0,22333,289423,36136,0,15631,0,51767,2.5% @ 55,https://www.sandiego.gov/humanresources,1430489,06/30/2020,San Diego,,False,
2019,City,San Diego,Police,Police Sergeant,False,False,,93059,112507,,107707,138761,15813,20439,282720,18234,0,0,17440,35674,3.0% @ 50,https://www.sandiego.gov/humanresources,1430489,06/30/2020,San Diego,,False,
2019,City,San Diego,Retirement,Retirement Administrator,False,False,,77917,311168,,262661,0,0,12920,275581,0,0,23650,0,23650,N/A,https://www.sandiego.gov/humanresources,1430489,06/30/2020,San Diego,,False,
2019,City,San Diego,Fire-Rescue,Fire Captain,False,False,,75733,91666,,80357,122451,16901,53138,272847,19698,0,0,11898,31596,3.0% @ 50,https://www.sandiego.gov/humanresources,1430489,06/30/2020,San Diego,,False,
