state,population
Wyoming,582328
Vermont,623347
District of Columbia,712816
Alaska,731158
North Dakota,765309
South Dakota,892717
Delaware,986809
Rhode Island,1057125
Montana,1080577
Maine,1350141
New Hampshire,1366275
Hawaii,1407006
West Virginia,1784787
Idaho,1826913
Nebraska,1937552
New Mexico,2106319
Kansas,2913805
Mississippi,2966786
Arkansas,3030522
Nevada,3138259
Iowa,3163561
Utah,3249879
Connecticut,3557006
Oklahoma,3980783
Oregon,4241507
Kentucky,4477251
Louisiana,4645318
Alabama,4921532
South Carolina,5218040
Minnesota,5657342
Colorado,5807719
Wisconsin,5832655
Maryland,6055802
Missouri,6151548
Indiana,6754953
Tennessee,6886834
Massachusetts,6893574
Arizona,7421401
Washington,7693612
Virginia,8590563
New Jersey,8882371
Michigan,9966555
North Carolina,10600823
Georgia,10710017
Ohio,11693217
Illinois,12587530
Pennsylvania,12783254
New York,19336776
Florida,21733312
Texas,29360759
California,39368078
