Autograder Score,Lateness
32,On Time
32,On Time
31,On Time
23.5,On Time
23.5,On Time
29,On Time
29,On Time
30,On Time
30,On Time
35,On Time
22,On Time
24,On Time
24,On Time
30,On Time
32,On Time
27,On Time
29,On Time
27,On Time
29,On Time
30,On Time
30,On Time
22,On Time
21,On Time
21,On Time
31,On Time
26,On Time
22,On Time
22,On Time
30,On Time
32,On Time
21,On Time
18,On Time
35,On Time
36,On Time
31,On Time
22,On Time
29,On Time
31,On Time
32,On Time
30,On Time
30,On Time
22,On Time
22,On Time
29,On Time
26,On Time
26,On Time
26,On Time
25,On Time
25,On Time
24,On Time
31,On Time
31,On Time
33,On Time
30,On Time
30,On Time
31,On Time
31,On Time
16,On Time
29.5,On Time
27,On Time
21,On Time
31,On Time
31,On Time
24,On Time
17,On Time
17,On Time
31,On Time
23,On Time
25,On Time
20,On Time
31,On Time
24,On Time
26,On Time
22,On Time
30,On Time
22,On Time
28,On Time
28,On Time
24,On Time
21,On Time
21,On Time
32,On Time
7,On Time
23,On Time
31,On Time
14,On Time
15,On Time
15,On Time
29,On Time
33,On Time
34,On Time
26,On Time
22,On Time
32,On Time
33,On Time
29,On Time
29,On Time
32,On Time
33,On Time
25,On Time
33,On Time
32,On Time
35,On Time
32,On Time
35,On Time
28,On Time
31,On Time
31,On Time
36,On Time
36,On Time
36,On Time
32,On Time
36,On Time
34,On Time
33,On Time
33,On Time
23,On Time
25,On Time
20,On Time
22,On Time
19,On Time
17,On Time
32,On Time
35,Late (1 day)
30,Late (1 day)
29,Late (1 day)
30,Late (1 day)
32,Late (1 day)
25,Late (1 day)
31,Late (1 day)
32,Late (1 day)
36,Late (1 day)
15,Late (1 day)
35,Late (1 day)
30,Late (1 day)
26,Late (1 day)
25.5,Late (1 day)
27,Late (1 day)
18,Late (1 day)
32,Late (1 day)
7,Late (1 day)
28,Late (1 day)
22,Late (1 day)
24,Late (1 day)
14,Late (1 day)
28,Late (1 day)
32,Late (1 day)
32,Late (1 day)
12,Late (1 day)
32,Late (1 day)
27,Late (1 day)
28,Late (1 day)
34,Late (1 day)
27,Late (1 day)
16,Late (1 day)
30,Late (2 days)
32,Late (2 days)
33,Late (2 days)
26,Late (2 days)
26,Late (2 days)
24,Late (2 days)
23,Late (2 days)
19,Late (2 days)
